command,explanation,chartFile,statusFile,enableNotify
?Longtermwheat,小麦长期交易策略,longtermwheat.png,null,false
?Longtermtqqq,TQQQ长期交易策略,longtermtqqq.png,null,false
?Longtermspy,标普长期交易策略,longtermspy.png,SPY_status.txt,true
?QLD,2倍做多纳指100ETF(QLD)短期交易策略,qld.png,null,false
?Daytradev2,纳指100日内交易策略(V2),daytradev2.png,null,false
?Daytradev3,纳指100日内交易策略(V3),daytradev3.png,null,false
?Daytradev4,纳指100日内交易策略(V4),daytradev4.png,null,false
?Daytradev5,纳指100日内交易策略(V5),daytradev5.png,NQ_daytradev5_status.txt,true
?Daytradev6,纳指100日内交易策略(V6),daytradev6.png,NQ_daytradev6_status.txt,true
?Rotation,QQQ与IWM间风格轮动策略,rotation.png,null,false
?Longtermiwm,IWM长期交易策略,longtermiwm.png,null,false
?NQV4,纳指100日内交易策略,nqv4.png,null,false
?SP500,标普500日内交易策略,sp500.png,QLD_SP500V2_status.txt,true
?shorttermnq,纳指短期交易策略,shorttermnq.png,NQ-composite_status.txt,true
